particle_idx,G,w_EE_bias,w_EE_coeff,w_EI_bias,w_EI_coeff,n_regions,setup_success,lambda_max,min_real,max_real,fraction_complex,slowest_timescale,passes_leading_stability,passes_oscillatory_check,passes_stability,has_oscillatory_instability,stability_regime,regime_timescale_range,n_complex_eigenvalues,epsilon_used,passes_homotopy,lambda_max_perturbed,perturbations_tested,perturbation_pct,knob_parameter,original_knob_value,failed_at_perturbation,n_perturbations_tested,n_perturbations_failed,has_computation_errors,computation_errors,step_failed_at
0,0.8210004359017319,2.706184460898301,1.9520136185331247,0.8753119156727347,0.300728061314419,180,True,-0.6719988105490282,-290.67284245773374,-0.6719988105490282,0.0,-1.488097872052768,True,True,True,False,very_damped,≤ 2s,0,0.02,True,"[np.float64(-0.7016302151518541), np.float64(-0.6394088955950081)]","[0.9, 1.1]",10.0,G,0.8210004359017319,,2,0,False,,0
1,1.158511828456599,2.4120775834053405,2.443245970924437,0.8304306865134996,0.4655586007784466,180,True,-1.3653800574850605,-293.17562291416385,-1.3653800574850605,0.0,-0.7323968110695374,True,True,True,False,very_damped,≤ 2s,0,0.02,True,"[np.float64(-1.387921750287802), np.float64(-1.3375558391680868)]","[0.9, 1.1]",10.0,G,1.158511828456599,,2,0,False,,0
2,1.1310383743638182,2.8840212185580647,3.029457523616149,0.9006231211704483,0.4340317861956959,180,True,-1.317618795125611,-284.41281665885913,-1.317618795125611,0.0,-0.7589448508926803,True,True,True,False,very_damped,≤ 2s,0,0.02,True,"[np.float64(-1.3298367197361127), np.float64(-1.3005162059639943)]","[0.9, 1.1]",10.0,G,1.1310383743638182,,2,0,False,,0
3,2.0998056782697696,0.0924070163859042,3.632300256895327,0.32924509431905036,0.9686209439732624,180,True,-1.4919808617879329,-306.31261944396374,-1.4919808617879329,0.0,-0.670249884305914,True,True,True,False,very_damped,≤ 2s,0,0.02,True,"[np.float64(-1.7796597357291741), np.float64(-1.1955468500283477)]","[0.9, 1.1]",10.0,G,2.0998056782697696,,2,0,False,,0
4,1.1138001113380849,2.9702101175270053,2.720955625661982,0.9184701762495682,0.3752789716500232,180,True,-1.438210400294487,-283.6595817884599,-1.438210400294487,0.0,-0.6953085583272383,True,True,True,False,very_damped,≤ 2s,0,0.02,True,"[np.float64(-1.4581349393988035), np.float64(-1.413826834479916)]","[0.9, 1.1]",10.0,G,1.1138001113380849,,2,0,False,,0
